title,platform,language,released,popularity,rating,total_rating_user
Fate/Stay Night,"Android,Apple iProduct,Nintendo DS,PlayStation 2,PlayStation Portable,PlayStation Vita,VNDS,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Italian,Spanish,English",2004-01-30,100.0,8.62,11968
Saya no Uta,"Android,Blu-ray Player,Linux,Mac OS,Nintendo DS,Other,PlayStation Portable,VNDS,Windows","Chinese,Vietnamese,Turkish,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Italian,French,Spanish,English,German",2003-12-26,87.91,8.09,11657
G-senjou no Maou,"PlayStation Portable,VNDS,Windows","Chinese,Vietnamese,Portuguese (Brazil),Polish,Korean,Japanese,Italian,Hungarian,Spanish,English,Arabic",2008-05-29,84.39,8.37,9427
Steins;Gate,"Android,Apple iProduct,PlayStation 3,PlayStation 4,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows,Xbox 360","Chinese,Vietnamese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,Spanish,English,German,Czech",2009-10-15,81.69,9.01,8751
Grisaia no Kajitsu -Le Fruit de la Grisaia-,"Android,Linux,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Russian,Korean,Japanese,Spanish,English",2011-02-25,80.16,8.41,8966
Katawa Shoujo,"Android,Linux,Mac OS,Website,Windows","Chinese,Turkish,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Italian,Hungarian,French,Spanish,English,German,Catalan",2009-04-29,77.6,7.84,12432
Muv-Luv Alternative,"PlayStation 3,PlayStation Vita,Windows,Xbox 360","Chinese,Russian,Japanese,Spanish,English",2006-02-24,66.06,9.08,6538
Clannad,"Android,Other (mobile),PlayStation 2,PlayStation 3,PlayStation 4,PlayStation Portable,PlayStation Vita,Nintendo Switch,VNDS,Windows,Xbox 360","Chinese,Vietnamese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,Spanish,English",2004-04-28,64.09,8.65,7132
Maji de Watashi ni Koishinasai!!,"PlayStation 3,Windows","Chinese,Russian,Japanese,Spanish,English",2009-08-28,59.56,8.35,6211
Umineko no Naku Koro ni,"Android,Apple iProduct,Linux,Mac OS,PlayStation 3,PlayStation 4,PlayStation Portable,PlayStation Vita,Nintendo Switch,VNDS,Windows","Chinese,Russian,Portuguese (Brazil),Japanese,Italian,French,Spanish,English",2007-08-17,58.39,8.82,6411
Ever17 -The Out of Infinity-,"Android,Dreamcast,Apple iProduct,PlayStation 2,PlayStation Portable,VNDS,Windows","Chinese,Russian,Japanese,Spanish,English",2002-08-29,57.93,8.5,6197
Little Busters!,"Android,PlayStation 2,PlayStation 3,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Spanish,English",2007-07-27,57.9,8.56,6151
Dangan Ronpa Kibou no Gakuen to Zetsubou no Koukousei,"Android,Apple iProduct,Linux,Mac OS,PlayStation 4,PlayStation Portable,PlayStation Vita,Windows","Chinese,Russian,Polish,Japanese,Italian,French,Spanish,English",2010-11-25,56.26,7.83,7504
"Sharin no Kuni, Himawari no Shoujo","Android,PlayStation 3,PlayStation Portable,Windows,Xbox 360","Chinese,Vietnamese,Russian,Portuguese (Brazil),Korean,Japanese,Spanish,English,German",2005-11-25,54.82,8.18,5613
Tsukihime,"Game Boy Advance,Apple iProduct,Linux,PlayStation Portable,VNDS,Website,Windows","Chinese,Vietnamese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2000-08-11,54.55,8.2,6242
Rewrite,"PlayStation 3,PlayStation 4,PlayStation Portable,PlayStation Vita,Windows","Chinese,Vietnamese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,English,German",2011-06-24,53.29,8.54,5647
Super Dangan Ronpa 2 Sayonara Zetsubou Gakuen,"Linux,Mac OS,PlayStation 4,PlayStation Portable,PlayStation Vita,Website,Windows","Chinese,Russian,Korean,Japanese,Italian,Spanish,English",2012-07-26,49.54,8.29,5860
Umineko no Naku Koro ni Chiru,"Android,Apple iProduct,Linux,Mac OS,PlayStation 3,PlayStation 4,PlayStation Vita,Nintendo Switch,VNDS,Windows","Chinese,Russian,Portuguese (Brazil),Japanese,Italian,Spanish,English",2009-08-15,46.04,8.85,4933
Planetarian ~Chiisana Hoshi no Yume~,"Android,Apple iProduct,Other (mobile),Nintendo DS,PlayStation 2,PlayStation Portable,Nintendo Switch,VNDS,Windows","Chinese,Vietnamese,Turkish,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2004-11-29,45.64,7.89,5331
Kyokugen Dasshutsu 9-Jikan 9-Nin 9 no Tobira,"Apple iProduct,Nintendo DS,PlayStation 4,PlayStation Vita,Windows","Chinese,Russian,Japanese,Italian,Spanish,English",2009-12-10,43.34,8.31,4961
Muv-Luv,"PlayStation 3,PlayStation Vita,Windows,Xbox 360","Chinese,Polish,Japanese,English",2003-02-28,43.31,6.98,6562
Gyakuten Saiban,"Android,Game Boy Advance,Apple iProduct,Nintendo 3DS,Nintendo DS,PlayStation 4,Nintendo Switch,Nintendo Wii,Windows,Xbox One","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2001-10-11,41.85,8.11,4917
Kara no Shoujo,"Android,DVD Player,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Spanish,English",2008-07-04,41.56,8.02,4382
Kamidori Alchemy Meister,Windows,"Chinese,Korean,Japanese,Spanish,English",2011-04-22,41.12,8.13,4414
Higurashi no Naku Koro ni,"Android,Game Boy Advance,Apple iProduct,Linux,Mac OS,Other (mobile),Nintendo DS,PlayStation 2,PlayStation 3,PlayStation 4,PlayStation Vita,Nintendo Switch,VNDS,Windows","Chinese,Vietnamese,Turkish,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Italian,French,English",2002-08-10,40.91,8.46,4531
Doki Doki Literature Club!,"Android,Linux,Mac OS,Nintendo 3DS,PlayStation 3,PlayStation Portable,PlayStation Vita,Nintendo Switch,Windows","Chinese,Vietnamese,Ukrainian,Turkish,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Italian,French,Spanish,English,German",2017-09-22,40.76,7.08,7050
Yume Miru Kusuri,"PlayStation Portable,VNDS,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2005-12-22,40.67,7.39,5167
Hoshizora no Memoria -Wish upon a Shooting Star-,Windows,"Chinese,Korean,Japanese,Spanish,English",2009-03-27,40.41,7.81,4575
Sengoku Rance,"Website,Windows","Chinese,Russian,Korean,Japanese,English",2006-12-15,40.14,8.32,4164
Subarashiki Hibi ~Furenzoku Sonzai~,Windows,"Chinese,Russian,Korean,Japanese,Spanish,English",2010-03-26,37.89,8.6,3656
"Kono Oozora ni, Tsubasa o Hirogete","Android,Apple iProduct,PlayStation 3,PlayStation Vita,Nintendo Switch,Windows","Chinese,Russian,Japanese,English",2012-05-25,36.35,7.71,4333
Maji de Watashi ni Koishinasai! S,Windows,"Japanese,Spanish,English",2012-01-27,35.35,8.15,3570
Cross†Channel,"Android,Game Boy Advance,Apple iProduct,Linux,Mac OS,PlayStation 2,PlayStation 3,PlayStation Portable,PlayStation Vita,Nintendo Switch,VNDS,Website,Windows,Xbox 360","Chinese,Russian,Korean,Japanese,English",2003-09-26,35.23,7.82,3582
Utawarerumono,"Android,Apple iProduct,PlayStation 2,PlayStation 4,PlayStation Portable,PlayStation Vita,Windows","Chinese,Russian,Korean,Japanese,Spanish,English",2002-04-26,34.62,7.86,3600
Chaos;Head,Windows,"Chinese,Russian,Korean,Japanese,Spanish,English",2008-04-25,34.54,7.37,4508
Narcissu,"Android,Apple iProduct,Linux,Mac OS,Nintendo DS,PlayStation Portable,VNDS,Website,Windows","Chinese,Vietnamese,Russian,Portuguese (Brazil),Polish,Korean,Japanese,Italian,Hungarian,French,Spanish,English,German",2005-08-02,33.79,7.48,4321
Gyakuten Saiban 3,"Android,Game Boy Advance,Apple iProduct,Nintendo 3DS,Nintendo DS,PlayStation 4,Nintendo Switch,Nintendo Wii,Windows,Xbox One","Chinese,Russian,Portuguese (Brazil),Korean,Japanese,Italian,French,Spanish,English,German",2004-01-23,33.41,8.54,3488
Neko Para Vol.1 Soleil Kaiten Shimashita!,"Android,Apple iProduct,PlayStation 4,Nintendo Switch,Website,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Italian,Spanish,English,German",2014-12-29,30.82,6.89,4735
